0,1,30647252E-09
119,532679,3,99408163E-09
119,7427075,3,32217935E-09
119,9626504,3,6954584E-09
120,1726366,4,06873744E-09
120,3726252,3,24752354E-09
120,5826113,3,17286774E-09
120,7926422,3,62080259E-09
121,0025861,3,39683516E-09
121,2125747,3,7701142E-09
121,4325061,3,91942582E-09
121,6325482,4,06873744E-09
121,84258,3,99408163E-09
122,0625232,3,6954584E-09
122,2725083,4,29270487E-09
122,4824983,3,39683516E-09
122,6926127,2,8742445E-09
122,902472,3,17286774E-09
123,1124565,3,09821193E-09
123,3224437,3,62080259E-09
123,5324309,3,84477001E-09
123,742466,3,99408163E-09
123,9524052,3,62080259E-09
124,182391,3,47149097E-09
124,3723378,3,6954584E-09
124,5823666,3,47149097E-09
124,7924174,3,02355612E-09
125,0023413,3,84477001E-09
125,212328,3,7701142E-09
125,4223158,3,7701142E-09
125,6323032,3,54614678E-09
125,842415,3,47149097E-09
126,0522764,3,99408163E-09
126,2622636,3,47149097E-09
126,4722505,3,17286774E-09
126,6822377,4,06873744E-09
126,8923019,4,14339325E-09
127,1023983,3,62080259E-09
127,3122,3,6954584E-09
127,5221875,3,62080259E-09
127,7321743,4,14339325E-09
127,942283,4,06873744E-09
128,1521476,3,6954584E-09
128,3620842,3,09821193E-09
128,5820822,3,32217935E-09
128,7821092,3,62080259E-09
128,992144,3,62080259E-09
129,2021594,3,84477001E-09
129,4220703,4,14339325E-09
129,6320573,4,21804906E-09
129,8420902,4,06873744E-09
130,0620307,3,6954584E-09
130,2720175,3,7701142E-09
130,4820066,4,21804906E-09
130,6920413,3,84477001E-09
130,9019776,3,47149097E-09
131,1119671,3,39683516E-09
131,3219544,3,91942582E-09
131,5319412,3,7701142E-09
131,7419807,3,6954584E-09
131,951915,3,6954584E-09
132,1619024,4,36736067E-09
132,3818888,4,14339325E-09
132,5818762,4,14339325E-09
132,7919078,3,62080259E-09
133,0018512,3,6954584E-09
133,2118377,4,29270487E-09
133,4218256,4,21804906E-09
133,6318107,3,6954584E-09
133,8418615,3,54614678E-09
134,0517862,3,39683516E-09
134,2617736,3,24752354E-09
134,4717608,3,91942582E-09
134,6817476,4,14339325E-09
134,891866,3,62080259E-09
135,1017219,3,99408163E-09
135,3117093,4,14339325E-09
135,5216963,3,62080259E-09
135,7316834,3,91942582E-09
135,9417521,4,21804906E-09
136,1516577,4,21804906E-09
136,3716111,4,06873744E-09
136,581632,3,7701142E-09
136,7917028,3,84477001E-09
136,9916864,3,62080259E-09
137,2015932,3,32217935E-09
137,4115813,3,6954584E-09
137,6215685,3,6954584E-09
137,8315548,3,54614678E-09
138,041585,3,99408163E-09
138,2515296,3,91942582E-09
138,4615161,3,84477001E-09
138,6715031,4,36736067E-09
138,8814904,4,06873744E-09
139,0915534,3,6954584E-09
139,3114644,3,6954584E-09
139,52145,3,17286774E-09
139,7314384,2,94890031E-09
139,9415547,3,17286774E-09
140,1514128,3,47149097E-09
140,3614008,3,91942582E-09
140,5914488,3,91942582E-09
140,7913773,4,44201648E-09
140,9914094,4,51667229E-09
141,2014536,4,5913281E-09
141,4113354,4,29270487E-09
141,6213229,4,21804906E-09
141,8313105,4,51667229E-09
142,0413967,4,51667229E-09
142,251284,4,14339325E-09
142,4612711,4,21804906E-09
142,6712583,4,36736067E-09
142,8812466,7,65221626E-09
143,0913097,7,57756045E-09
143,3112192,3,35947004E-10
143,5212065,1,90371899E-09
143,7311944,2,20234222E-09
143,9412616,1,60509575E-09
144,1511681,1,67975156E-09
144,3611545,2,42630965E-09
144,5711423,1,45578413E-09
144,8011282,1,90371899E-09
145,0011162,2,57562127E-09
145,20128,2,20234222E-09
145,4110905,2,57562127E-09
145,6210411,2,20234222E-09
145,8310648,1,9783748E-09
146,041121,2,65027707E-09
146,2510391,3,09821193E-09
146,4610259,2,8742445E-09
146,6710116,2,72493288E-09
146,8810012,2,20234222E-09
147,0910675,1,53043994E-09
147,3109741,2,50096546E-09
147,5209614,2,79958869E-09
147,7309482,2,42630965E-09
147,9409757,2,79958869E-09
148,1509234,6,10199248E-07
148,3609097,0,000116596509
148,5708982,0,000116596509
148,7808849,0,0648626718
148,9909186,0,0648626718
149,2008588,0,0648626718
149,4108474,0,0648626718
149,6308319,0,0648878413
149,8308211,0,0648901732
150,0408483,0,0648932083
150,2507948,0,0648960584
150,4607813,0,0648974649
150,6707702,0,0648973169
150,8908078,0,0648993526
151,1008868,0,064902906
151,3107279,0,0649062372
151,5207172,0,0649073477
151,7307032,0,064908347
151,940792,0,0649106419
152,1506775,0,0649120484
152,3606653,0,0649111601
152,5706529,0,0649084581
152,7806399,0,0649088652
152,9907676,0,0649113452
153,2105591,0,0649097906
153,4305992,0,0650559959
153,6205879,0,0678259396
153,8305747,0,0720628226
154,0406052,0,072777045
154,2505489,0,0727804503
154,4605373,0,0727628687
154,6705239,0,0727615732
154,8905534,0,072763683
155,1005759,0,072782116
155,3104842,0,0829671139
155,5204714,0,129656812
155,7304572,0,113260567
155,9406524,0,0839460975
156,1504325,0,091966553
156,3604197,0,0989670873
156,5704066,0,133514783
156,7803947,0,113385489
156,9904805,0,100792989
157,2003686,0,100647486
157,4103562,0,103915861
157,6302886,0,10376414
157,8404517,0,101356601
158,040395,0,101054974
158,2504097,0,100757714
158,4602901,0,100663551
158,6702781,0,100652668
158,8802659,0,100663106
159,0903923,0,100860798
159,3002395,0,103890358
159,5102274,0,102633325
159,720214,0,101071815
159,9301672,0,100745611
160,1402453,0,102238978
160,3501759,0,104068507
160,5601293,0,112212922
160,7701495,0,114398118
160,9801022,0,101829307
161,1902072,0,101864729
161,4001107,0,10225904
161,6100983,0,115953188
161,8300847,0,102910671
162,030073,0,102119682
162,2401787,0,103720834
162,4501694,0,101118416
162,660032,0,100709596
162,8700207,0,100706487
163,0800082,0,100696641
163,2900682,0,101693391
163,4999826,0,104599325
163,7099694,0,101662337
163,9199551,0,10069727
164,1400754,0,10070471
164,3499309,0,100719849
164,5599178,0,100710225
164,7699044,0,100688757
164,9798919,0,100700676
165,1899514,0,100928386
165,399866,0,103001171
165,6098531,0,10204273
165,829801,0,100727215
166,0398761,0,10081231
166,2498142,0,102709833
166,4498013,0,104330862
166,6597889,0,102665713
166,8697758,0,100818195
167,0797631,0,100713705
167,289886,0,10077685
167,4997372,0,129589373
167,7097242,0,129589373
167,9197118,0,0657445676
168,1397718,0,0657445676
168,3496855,0,0657445676
168,5596722,0,0657445676
168,7796594,0,0653246066
168,9996463,0,0652972903
169,209631,0,0652742676
169,4196198,0,0652561307
169,6396713,0,0652440271
169,8495935,0,0652375867
170,0595811,0,0652326268
170,2695678,0,0652272598
170,4795547,0,0652181913
170,6896529,0,0652081976
170,8995292,0,0651979447
171,1095157,0,0651976486
171,3195032,0,0651933549
171,5294904,0,0651869515
171,7395511,0,0651852119
171,9594447,0,0651851008
172,1594522,0,0651801409
172,3694389,0,0651684445
172,5794261,0,0651596352
172,7895005,0,0651545643
172,9994006,0,0651508258
173,2093875,0,0752692356
173,4193748,0,211411365
173,6394073,0,211411365
173,8493469,0,0651449406
174,0593353,0,0651449406
174,2693226,0,0651449406
174,4793093,0,0651449406
174,6893637,0,0651449036
174,8992838,0,0651428308
175,1092714,0,0651361313
175,3192581,0,0651317266
175,5292452,0,0651242498
175,7393058,0,0651201782
175,9492198,0,0651149223
176,1592076,0,0651030778
176,3691943,0,065101005
176,5791815,0,0651051876
176,7893521,0,0651144781
176,9991555,0,0651251751
177,2091426,0,0651202523
177,4191303,0,0651220289
177,6290718,0,0651241387
177,8391788,0,0651216958
178,0490911,0,0651103325
178,2790766,0,0650966373
178,4690667,0,065095897
178,6790527,0,0654622988
178,8891479,0,0678009552
179,0990262,0,0693464012
179,3089771,0,069514741
179,5190006,0,0695724458
179,7289882,0,0696772325
179,9390481,0,0697311989
180,1489624,0,06971569
180,3589494,0,0702415111
180,5689372,0,0943521801
