Episode: 285; Score: [-2.09459]; Action: [0.35564524]
Episode: 286; Score: [-2.211771]; Action: [0.39181718]
Episode: 287; Score: [-4.2783704]; Action: [1.]
Episode: 288; Score: [-2.2061186]; Action: [0.44672692]
Episode: 289; Score: [-2.3820968]; Action: [0.3892378]
Episode: 290; Score: [-4.2332735]; Action: [0.8943126]
Episode: 291; Score: [-0.2861861]; Action: [0.9676096]
Episode: 292; Score: [-3.3238833]; Action: [0.773161]
Episode: 293; Score: [-2.2953484]; Action: [0.42209864]
Episode: 294; Score: [-4.148018]; Action: [1.]
Episode: 295; Score: [-0.18194264]; Action: [0.86345476]
Episode: 296; Score: [-3.1074088]; Action: [0.955635]
Episode: 297; Score: [-2.004375]; Action: [0.4063935]
Episode: 298; Score: [-3.0298808]; Action: [0.9701193]
Episode: 299; Score: [-3.3338037]; Action: [0.74775994]
Episode: 300; Score: [-3.2443361]; Action: [0.7988518]
Episode: 301; Score: [-3.0249586]; Action: [1.]
Episode: 302; Score: [-2.3185172]; Action: [0.4609426]
Episode: 303; Score: [-2.3087163]; Action: [0.40666217]
Episode: 304; Score: [-4.3026466]; Action: [1.]
Episode: 305; Score: [-2.0665479]; Action: [0.3779951]
Episode: 306; Score: [-2.0098357]; Action: [0.3725975]
Episode: 307; Score: [-3.0859153]; Action: [1.]
Episode: 308; Score: [-2.568449]; Action: [0.4306566]
Episode: 309; Score: [-0.15969181]; Action: [1.]
Episode: 310; Score: [-2.4811525]; Action: [0.39151248]
Episode: 311; Score: [-4.092387]; Action: [1.]
Episode: 312; Score: [-0.3384835]; Action: [0.84152097]
Episode: 313; Score: [-0.2045049]; Action: [0.90255785]
Episode: 314; Score: [-2.0044022]; Action: [0.40087983]
Episode: 315; Score: [-0.22639799]; Action: [0.9801685]
Episode: 316; Score: [-2.179956]; Action: [0.5618428]
Episode: 317; Score: [-4.3300786]; Action: [1.]
Episode: 318; Score: [-4.1652365]; Action: [0.97059876]
Episode: 319; Score: [-7.1367016]; Action: [0.32395107]
Episode: 320; Score: [-3.4992394]; Action: [0.87660366]
Episode: 321; Score: [-3.0691347]; Action: [1.]
Episode: 322; Score: [-4.140418]; Action: [1.]
Episode: 323; Score: [-0.16571856]; Action: [0.9783661]
Episode: 324; Score: [-3.2476337]; Action: [0.9338191]
Episode: 325; Score: [-4.0628214]; Action: [0.93717843]
Episode: 326; Score: [-2.257923]; Action: [0.464888]
Episode: 327; Score: [-3.3057253]; Action: [0.94500446]
Episode: 328; Score: [-3.0953867]; Action: [0.941559]
Episode: 329; Score: [-2.1788647]; Action: [0.37530333]
Episode: 330; Score: [-4.121196]; Action: [0.91439116]
Episode: 331; Score: [-0.33465117]; Action: [1.]
Episode: 332; Score: [-3.2539384]; Action: [0.9647929]
Episode: 333; Score: [-2.286499]; Action: [0.36889794]
Episode: 334; Score: [-0.12493593]; Action: [0.9635355]
Episode: 335; Score: [-3.0581226]; Action: [0.9453798]
Episode: 336; Score: [-3.339376]; Action: [0.81032443]
Episode: 337; Score: [-4.2556877]; Action: [0.89276814]
Episode: 338; Score: [-3.3526866]; Action: [0.94711107]
Episode: 339; Score: [-2.096031]; Action: [0.4024787]
Episode: 340; Score: [-3.3802476]; Action: [0.9433217]
Episode: 341; Score: [-1.9440279]; Action: [0.32497257]
Episode: 342; Score: [-0.32265055]; Action: [0.79774463]
Episode: 343; Score: [-0.24127865]; Action: [0.8956996]
Episode: 344; Score: [-3.316787]; Action: [0.9676158]
Episode: 345; Score: [-2.3945947]; Action: [0.3828129]
Episode: 346; Score: [-4.278928]; Action: [0.9888697]
Episode: 347; Score: [-3.4384172]; Action: [1.]
Episode: 348; Score: [-1.8182993]; Action: [0.15047508]
Episode: 349; Score: [-2.1172905]; Action: [0.4205982]
Episode: 350; Score: [-0.00320238]; Action: [1.]
Episode: 351; Score: [-0.33960825]; Action: [1.]
Episode: 352; Score: [-3.016974]; Action: [1.]
Episode: 353; Score: [-5.8229284]; Action: [0.41741696]
Episode: 354; Score: [-0.02521831]; Action: [1.]
Episode: 355; Score: [-2.4205368]; Action: [0.4482205]
Episode: 356; Score: [-0.12708402]; Action: [1.]
Episode: 357; Score: [-4.13545]; Action: [1.]
Episode: 358; Score: [-2.0354369]; Action: [0.36545724]
Episode: 359; Score: [-4.1757407]; Action: [0.9004774]
Episode: 360; Score: [-2.0839624]; Action: [0.34859896]
Episode: 361; Score: [-3.2714763]; Action: [1.]
Episode: 362; Score: [-0.04926997]; Action: [1.]
Episode: 363; Score: [-3.1106045]; Action: [1.]
Episode: 364; Score: [-0.35864776]; Action: [0.8746745]
Episode: 365; Score: [-2.169185]; Action: [0.35268435]
Episode: 366; Score: [-3.3486266]; Action: [1.]
Episode: 367; Score: [-0.4114954]; Action: [1.]
Episode: 368; Score: [-2.0075328]; Action: [0.35554454]
Episode: 369; Score: [-2.4442492]; Action: [0.39273104]
Episode: 370; Score: [-4.054661]; Action: [1.]
Episode: 371; Score: [-3.1313975]; Action: [0.9617626]
Episode: 372; Score: [-2.105428]; Action: [0.3636477]
Episode: 373; Score: [-3.133263]; Action: [1.]
Episode: 374; Score: [-0.16984391]; Action: [1.]
Episode: 375; Score: [-2.5467758]; Action: [0.44208193]
Episode: 376; Score: [-4.1127787]; Action: [1.]
Episode: 377; Score: [-7.0688925]; Action: [0.32835415]
Episode: 378; Score: [-0.11983573]; Action: [1.]
Episode: 379; Score: [-0.16284281]; Action: [0.9460456]
Episode: 380; Score: [-2.4169018]; Action: [0.51471835]
Episode: 381; Score: [-3.3322737]; Action: [1.]
Episode: 382; Score: [-4.297784]; Action: [1.]
Episode: 383; Score: [-3.1035275]; Action: [0.9881763]
Episode: 384; Score: [-5.8451138]; Action: [0.3693041]
Episode: 385; Score: [-2.2712007]; Action: [0.6053922]
Episode: 386; Score: [-3.1286085]; Action: [1.]
Episode: 387; Score: [-3.157715]; Action: [0.89577407]
Episode: 388; Score: [-3.2962306]; Action: [1.]
Episode: 389; Score: [-1.589925]; Action: [0.14075649]
Episode: 390; Score: [-2.1081572]; Action: [0.21076052]
Episode: 391; Score: [-0.14102674]; Action: [1.]
Episode: 392; Score: [-0.2852143]; Action: [0.90036476]
Episode: 393; Score: [-5.875621]; Action: [0.3668567]
Episode: 394; Score: [-3.0226083]; Action: [1.]
Episode: 395; Score: [-3.2036686]; Action: [1.]
Episode: 396; Score: [-3.1590714]; Action: [0.93596697]
Episode: 397; Score: [-3.1247327]; Action: [1.]
Episode: 398; Score: [-2.4690824]; Action: [0.5215213]
Episode: 399; Score: [-0.1872657]; Action: [1.]
Episode: 400; Score: [-0.09671932]; Action: [0.99174327]
Episode: 401; Score: [-4.0921597]; Action: [1.]
Episode: 402; Score: [-2.223446]; Action: [0.35492802]
Episode: 403; Score: [-3.14191]; Action: [0.909981]
Episode: 404; Score: [-3.3128004]; Action: [0.99626535]
Episode: 405; Score: [-2.2724516]; Action: [0.36204597]
Episode: 406; Score: [-3.004354]; Action: [1.]
Episode: 407; Score: [-4.3922195]; Action: [0.8940389]
Episode: 408; Score: [-2.1912463]; Action: [0.27587938]
Episode: 409; Score: [-2.4969063]; Action: [0.43619925]
Episode: 410; Score: [-3.3132896]; Action: [0.80332935]
Episode: 411; Score: [-0.16729128]; Action: [0.9542811]
Episode: 412; Score: [-0.06220216]; Action: [1.]
Episode: 413; Score: [-6.8794556]; Action: [0.37843475]
Episode: 414; Score: [-2.5739295]; Action: [0.46355382]
Episode: 415; Score: [-0.28323692]; Action: [0.87226075]
Episode: 416; Score: [-0.06965983]; Action: [1.]
Episode: 417; Score: [-7.165208]; Action: [0.29531524]
Episode: 418; Score: [-3.227658]; Action: [0.92308825]
Episode: 419; Score: [-3.1012592]; Action: [0.937081]
Episode: 420; Score: [-0.06727469]; Action: [1.]
Episode: 421; Score: [-2.543267]; Action: [0.3239275]
Episode: 422; Score: [-0.08877182]; Action: [1.]
Episode: 423; Score: [-0.26349908]; Action: [0.91391474]
Episode: 424; Score: [-0.37593788]; Action: [1.]
Episode: 425; Score: [-4.0680895]; Action: [0.9993236]
Episode: 426; Score: [-3.1305764]; Action: [1.]
Episode: 427; Score: [-0.05993712]; Action: [1.]
Episode: 428; Score: [-2.3131547]; Action: [0.4493734]
Episode: 429; Score: [-5.410732]; Action: [0.4751839]
Episode: 430; Score: [-3.082635]; Action: [1.]
Episode: 431; Score: [-0.29071492]; Action: [1.]
