Wall time,Step,Value
1750579150.2144983,6474,-6.541216850280762
-1,6500,-5.9980154
1750579151.5792623,6529,-6.498740196228027
1750579152.0351994,6547,-6.264746189117432
1750579152.15338,6552,-7.264500617980957
1750579152.498906,6565,-7.391989231109619
1750579152.6150227,6570,-6.786328315734863
1750579153.0646489,6586,-7.244060039520264
1750579153.1991882,6591,-7.382623195648193
1750579153.4020035,6600,-6.153990745544434
1750579153.7896862,6616,-7.749992847442627
1750579155.274913,6674,-7.644654273986816
1750579156.463555,6721,-7.610222816467285
1750579156.726936,6731,-6.7341694831848145
1750579157.2521787,6751,-6.888923645019531
1750579158.5802846,6803,-7.1676435470581055
1750579159.5920107,6843,-6.196105003356934
1750579159.8175278,6851,-6.309168338775635
1750579160.0722268,6860,-6.1012864112854
1750579160.4761143,6876,-5.988961696624756
1750579161.465966,6917,-5.9209160804748535
1750579161.5428228,6920,-5.39138650894165
1750579161.8316622,6931,-8.191774368286133
1750579163.2709813,6992,-6.420428276062012
1750579163.4050937,6997,-6.89687967300415
1750579163.4584136,6999,-6.498478412628174
1750579164.866762,7055,-5.075316905975342
1750579166.4643505,7118,-6.388968467712402
1750579166.5183713,7121,-5.789636135101318
1750579166.6361113,7127,-7.025588512420654
1750579167.6295393,7165,-6.5369086265563965
1750579168.0075324,7179,-5.707408428192139
1750579168.7559276,7208,-8.218149185180664
1750579169.9531164,7254,-6.316497325897217
1750579170.5026114,7275,-5.874393939971924
1750579171.3634546,7309,-6.8777241706848145
1750579172.1709225,7339,-6.487668037414551
1750579172.5517852,7354,-6.2744245529174805
1750579172.921719,7368,-5.1549882888793945
1750579174.4322352,7425,-5.913546562194824
1750579174.7439258,7436,-6.107010841369629
1750579174.772608,7437,-6.342006206512451
1750579175.523971,7465,-5.671698570251465
1750579175.6354177,7469,-6.100818634033203
1750579175.6868436,7471,-6.5001373291015625
1750579176.037416,7483,-6.823302268981934
1750579176.6709526,7507,-6.876308441162109
1750579176.9923913,7519,-5.746389389038086
1750579177.2002904,7527,-7.136117458343506
1750579177.3614213,7533,-6.077317237854004
1750579177.6928139,7544,-5.7097249031066895
1750579177.93447,7552,-6.066018581390381
1750579177.984103,7554,-5.679463863372803
1750579179.0123825,7594,-5.861599445343018
1750579179.2420504,7603,-6.6227498054504395
1750579179.2986383,7605,-6.753018379211426
1750579180.166956,7639,-6.3672566413879395
1750579180.3449514,7645,-6.98029899597168
1750579180.7713118,7661,-5.825755596160889
1750579182.5856109,7728,-7.217983245849609
1750579182.6657996,7731,-7.791369915008545
1750579183.3566337,7757,-6.480607509613037
1750579184.4003959,7795,-5.01021146774292
1750579184.4271219,7796,-5.605531215667725
1750579185.1632597,7822,-7.711986541748047
1750579185.6477277,7839,-6.612186431884766
1750579185.9037037,7851,-5.31062650680542
1750579186.0241895,7856,-8.955188751220703
1750579187.148195,7896,-7.056537628173828
1750579187.3350573,7902,-5.221053123474121
1750579188.1442933,7930,-6.522928714752197
1750579189.8058896,7987,-6.233728408813477
1750579191.5804212,8047,-5.889577865600586
1750579192.52198,8079,-6.339330196380615
1750579193.7433593,8123,-6.091366767883301
1750579194.3373227,8145,-6.485629558563232
1750579194.840429,8164,-6.323095321655273
1750579194.8593855,8165,-6.278413772583008
1750579195.4747968,8193,-6.714339256286621
1750579196.0041623,8217,-7.065798759460449
1750579196.3041997,8230,-10.492202758789062
1750579197.5005229,8278,-5.434049129486084
1750579197.9052107,8292,-6.974869728088379
1750579198.0482037,8297,-6.205620288848877
1750579199.2569313,8353,-6.405826568603516
1750579199.544558,8364,-6.187770843505859
1750579199.905961,8378,-6.679251670837402
1750579200.4316957,8398,-6.444034576416016
1750579200.793297,8412,-5.3833208084106445
1750579203.0172486,8492,-6.523171424865723
1750579203.7617915,8522,-6.939239501953125
1750579204.4042552,8549,-7.411108493804932
1750579204.5755806,8555,-6.250279903411865
